FREQ_MHz	SENS_DB	SENS_VPERPA	SENS_V2CM2PERW	CAP_PF
0.25	-272.51	2.37E-08	8.42E-06	87.207
0.3	-272.02	2.51E-08	9.42E-06	87.161
0.35	-272.66	2.33E-08	8.13E-06	87.116
0.4	-272.76	2.30E-08	7.94E-06	87.071
0.45	-272.69	2.32E-08	8.08E-06	87.027
0.5	-272.9	2.27E-08	7.70E-06	86.983
0.55	-272.55	2.36E-08	8.34E-06	86.939
0.6	-272.22	2.45E-08	8.99E-06	86.896
0.65	-272.2	2.46E-08	9.05E-06	86.853
0.7	-272.07	2.49E-08	9.31E-06	86.811
0.75	-271.77	2.58E-08	9.97E-06	86.769
0.8	-271.87	2.55E-08	9.76E-06	86.727
0.85	-271.59	2.63E-08	1.04E-05	86.685
0.9	-271.14	2.77E-08	1.15E-05	86.644
0.95	-271.21	2.75E-08	1.13E-05	86.604
1	-271.29	2.73E-08	1.11E-05	86.563
1.05	-271.22	2.75E-08	1.13E-05	86.523
1.1	-271.18	2.76E-08	1.14E-05	86.484
1.15	-271.28	2.73E-08	1.12E-05	86.444
1.2	-271.24	2.74E-08	1.13E-05	86.405
1.25	-271.19	2.76E-08	1.14E-05	86.367
1.3	-270.77	2.89E-08	1.26E-05	86.328
1.35	-270.3	3.06E-08	1.40E-05	86.29
1.4	-270.12	3.12E-08	1.46E-05	86.252
1.45	-270.09	3.13E-08	1.47E-05	86.215
1.5	-269.65	3.29E-08	1.63E-05	86.178
1.55	-269.34	3.41E-08	1.74E-05	86.141
1.6	-269.25	3.45E-08	1.78E-05	86.105
1.65	-269.18	3.48E-08	1.81E-05	86.069
1.7	-269.03	3.53E-08	1.87E-05	86.033
1.75	-268.76	3.65E-08	2.00E-05	85.998
1.8	-268.83	3.62E-08	1.97E-05	85.962
1.85	-268.79	3.63E-08	1.98E-05	85.927
1.9	-268.48	3.77E-08	2.13E-05	85.893
1.95	-268.29	3.85E-08	2.23E-05	85.859
2	-268.26	3.86E-08	2.24E-05	85.825
2.05	-268.27	3.86E-08	2.23E-05	85.791
2.1	-268.21	3.88E-08	2.26E-05	85.758
2.15	-267.81	4.07E-08	2.48E-05	85.724
2.2	-267.67	4.14E-08	2.57E-05	85.692
2.25	-267.84	4.05E-08	2.47E-05	85.659
2.3	-267.88	4.04E-08	2.44E-05	85.627
2.35	-267.89	4.03E-08	2.44E-05	85.595
2.4	-267.49	4.22E-08	2.67E-05	85.563
2.45	-267.31	4.31E-08	2.78E-05	85.532
2.5	-267.64	4.15E-08	2.58E-05	85.501
2.55	-267.69	4.13E-08	2.56E-05	85.47
2.6	-267.57	4.18E-08	2.63E-05	85.439
2.65	-267.2	4.37E-08	2.86E-05	85.409
2.7	-267.3	4.32E-08	2.79E-05	85.379
2.75	-267.53	4.20E-08	2.65E-05	85.349
2.8	-267.42	4.25E-08	2.71E-05	85.319
2.85	-267.23	4.35E-08	2.84E-05	85.29
2.9	-267.27	4.33E-08	2.81E-05	85.261
2.95	-267.37	4.28E-08	2.75E-05	85.232
3	-267.44	4.25E-08	2.71E-05	85.204
3.05	-267.34	4.30E-08	2.77E-05	85.175
3.1	-267.33	4.30E-08	2.78E-05	85.147
3.15	-267.45	4.24E-08	2.70E-05	85.119
3.2	-267.46	4.24E-08	2.70E-05	85.092
3.25	-267.35	4.29E-08	2.76E-05	85.064
3.3	-267.47	4.23E-08	2.68E-05	85.037
3.35	-267.67	4.14E-08	2.57E-05	85.011
3.4	-267.62	4.16E-08	2.59E-05	84.984
3.45	-267.55	4.20E-08	2.64E-05	84.957
3.5	-267.61	4.17E-08	2.60E-05	84.931
3.55	-267.7	4.12E-08	2.55E-05	84.905
3.6	-267.75	4.10E-08	2.52E-05	84.88
3.65	-267.74	4.10E-08	2.53E-05	84.854
3.7	-267.82	4.07E-08	2.48E-05	84.829
3.75	-267.91	4.02E-08	2.43E-05	84.804
3.8	-267.89	4.03E-08	2.44E-05	84.779
3.85	-267.89	4.03E-08	2.44E-05	84.754
3.9	-267.89	4.03E-08	2.44E-05	84.73
3.95	-267.89	4.03E-08	2.44E-05	84.706
4	-267.98	3.99E-08	2.39E-05	84.682
4.05	-268.05	3.96E-08	2.35E-05	84.658
4.1	-268.08	3.94E-08	2.33E-05	84.634
4.15	-268.15	3.91E-08	2.30E-05	84.611
4.2	-268.17	3.91E-08	2.29E-05	84.588
4.25	-268.17	3.91E-08	2.29E-05	84.565
4.3	-268.19	3.90E-08	2.28E-05	84.542
4.35	-268.22	3.88E-08	2.26E-05	84.519
4.4	-268.3	3.85E-08	2.22E-05	84.497
4.45	-268.33	3.84E-08	2.21E-05	84.475
4.5	-268.33	3.83E-08	2.21E-05	84.453
4.55	-268.4	3.80E-08	2.17E-05	84.431
4.6	-268.42	3.79E-08	2.16E-05	84.409
4.65	-268.42	3.79E-08	2.16E-05	84.388
4.7	-268.41	3.80E-08	2.16E-05	84.366
4.75	-268.35	3.82E-08	2.19E-05	84.345
4.8	-268.36	3.82E-08	2.19E-05	84.324
4.85	-268.39	3.81E-08	2.17E-05	84.303
4.9	-268.37	3.81E-08	2.18E-05	84.283
4.95	-268.37	3.82E-08	2.18E-05	84.262
5	-268.33	3.83E-08	2.21E-05	84.242
5.05	-268.32	3.84E-08	2.21E-05	84.222
5.1	-268.34	3.83E-08	2.20E-05	84.202
5.15	-268.3	3.85E-08	2.22E-05	84.182
5.2	-268.32	3.84E-08	2.21E-05	84.163
5.25	-268.32	3.84E-08	2.21E-05	84.143
5.3	-268.25	3.87E-08	2.24E-05	84.124
5.35	-268.24	3.87E-08	2.25E-05	84.105
5.4	-268.19	3.90E-08	2.28E-05	84.086
5.45	-268.15	3.91E-08	2.30E-05	84.067
5.5	-268.15	3.92E-08	2.30E-05	84.048
5.55	-268.04	3.96E-08	2.36E-05	84.03
5.6	-267.99	3.99E-08	2.38E-05	84.012
5.65	-267.95	4.00E-08	2.40E-05	83.993
5.7	-267.87	4.04E-08	2.45E-05	83.975
5.75	-267.8	4.07E-08	2.49E-05	83.957
5.8	-267.72	4.11E-08	2.54E-05	83.94
5.85	-267.66	4.14E-08	2.57E-05	83.922
5.9	-267.58	4.18E-08	2.62E-05	83.904
5.95	-267.45	4.24E-08	2.70E-05	83.887
6	-267.39	4.27E-08	2.74E-05	83.87
6.05	-267.34	4.30E-08	2.77E-05	83.853
6.1	-267.22	4.35E-08	2.84E-05	83.836
6.15	-267.16	4.39E-08	2.89E-05	83.819
6.2	-267.09	4.42E-08	2.93E-05	83.802
6.25	-267.04	4.45E-08	2.97E-05	83.786
6.3	-267.11	4.41E-08	2.92E-05	83.769
6.35	-267.17	4.38E-08	2.88E-05	83.753
6.4	-267.22	4.36E-08	2.85E-05	83.737
6.45	-267.28	4.32E-08	2.80E-05	83.721
6.5	-267.31	4.31E-08	2.79E-05	83.705
6.55	-267.44	4.25E-08	2.71E-05	83.689
6.6	-267.44	4.24E-08	2.70E-05	83.673
6.65	-267.44	4.25E-08	2.70E-05	83.658
6.7	-267.45	4.24E-08	2.70E-05	83.642
6.75	-267.43	4.25E-08	2.71E-05	83.627
6.8	-267.47	4.23E-08	2.69E-05	83.611
6.85	-267.51	4.21E-08	2.66E-05	83.596
6.9	-267.5	4.22E-08	2.67E-05	83.581
6.95	-267.56	4.19E-08	2.63E-05	83.566
7	-267.58	4.18E-08	2.62E-05	83.551
7.05	-267.56	4.19E-08	2.63E-05	83.537
7.1	-267.61	4.17E-08	2.60E-05	83.522
7.15	-267.59	4.17E-08	2.61E-05	83.508
7.2	-267.58	4.18E-08	2.62E-05	83.493
7.25	-267.67	4.13E-08	2.56E-05	83.479
7.3	-267.73	4.11E-08	2.53E-05	83.465
7.35	-267.75	4.10E-08	2.52E-05	83.45
7.4	-267.77	4.09E-08	2.51E-05	83.436
7.45	-267.75	4.10E-08	2.52E-05	83.422
7.5	-267.76	4.09E-08	2.51E-05	83.409
7.55	-267.71	4.12E-08	2.54E-05	83.395
7.6	-267.72	4.11E-08	2.54E-05	83.381
7.65	-267.73	4.11E-08	2.53E-05	83.368
7.7	-267.72	4.11E-08	2.53E-05	83.354
7.75	-267.77	4.09E-08	2.51E-05	83.341
7.8	-267.81	4.07E-08	2.48E-05	83.327
7.85	-267.78	4.08E-08	2.50E-05	83.314
7.9	-267.8	4.07E-08	2.49E-05	83.301
7.95	-267.79	4.08E-08	2.49E-05	83.288
8	-267.81	4.07E-08	2.49E-05	83.275
8.05	-267.84	4.06E-08	2.47E-05	83.262
8.1	-267.88	4.04E-08	2.45E-05	83.249
8.15	-267.88	4.04E-08	2.45E-05	83.237
8.2	-267.89	4.03E-08	2.44E-05	83.224
8.25	-267.91	4.03E-08	2.43E-05	83.211
8.3	-267.89	4.03E-08	2.44E-05	83.199
8.35	-267.86	4.04E-08	2.45E-05	83.186
8.4	-267.87	4.04E-08	2.45E-05	83.174
8.45	-267.87	4.04E-08	2.45E-05	83.162
8.5	-267.83	4.06E-08	2.47E-05	83.149
8.55	-267.82	4.07E-08	2.48E-05	83.137
8.6	-267.83	4.06E-08	2.47E-05	83.125
8.65	-267.8	4.07E-08	2.49E-05	83.113
8.7	-267.78	4.08E-08	2.50E-05	83.101
8.75	-267.78	4.09E-08	2.50E-05	83.089
8.8	-267.73	4.11E-08	2.53E-05	83.077
8.85	-267.74	4.10E-08	2.52E-05	83.066
8.9	-267.8	4.08E-08	2.49E-05	83.054
8.95	-267.8	4.07E-08	2.49E-05	83.042
9	-267.74	4.10E-08	2.52E-05	83.031
9.05	-267.7	4.12E-08	2.55E-05	83.019
9.1	-267.65	4.14E-08	2.57E-05	83.008
9.15	-267.61	4.16E-08	2.60E-05	82.996
9.2	-267.6	4.17E-08	2.61E-05	82.985
9.25	-267.62	4.16E-08	2.59E-05	82.974
9.3	-267.53	4.20E-08	2.65E-05	82.962
9.35	-267.48	4.22E-08	2.68E-05	82.951
9.4	-267.48	4.23E-08	2.68E-05	82.94
9.45	-267.39	4.27E-08	2.73E-05	82.929
9.5	-267.31	4.31E-08	2.79E-05	82.918
9.55	-267.3	4.32E-08	2.80E-05	82.907
9.6	-267.26	4.34E-08	2.82E-05	82.896
9.65	-267.24	4.35E-08	2.83E-05	82.885
9.7	-267.22	4.35E-08	2.84E-05	82.874
9.75	-267.18	4.38E-08	2.87E-05	82.863
9.8	-267.15	4.39E-08	2.89E-05	82.853
9.85	-267.11	4.41E-08	2.92E-05	82.842
9.9	-267.06	4.44E-08	2.95E-05	82.831
9.95	-267.03	4.45E-08	2.97E-05	82.821
10	-267.05	4.44E-08	2.96E-05	82.81
10.05	-267.11	4.41E-08	2.92E-05	82.799
10.1	-267.07	4.43E-08	2.95E-05	82.789
