FREQ_MHz	SENS_DB	SENS_VPERPA	SENS_V2CM2PERW	CAP_PF
6.1	-254.9	1.80E-07	4.86E-04	85.509
6.15	-254.97	1.78E-07	4.77E-04	85.491
6.2	-254.94	1.79E-07	4.81E-04	85.473
6.25	-254.92	1.79E-07	4.83E-04	85.456
6.3	-254.96	1.79E-07	4.79E-04	85.439
6.35	-255.07	1.76E-07	4.66E-04	85.422
6.4	-255.11	1.76E-07	4.62E-04	85.405
6.45	-255.03	1.77E-07	4.71E-04	85.388
6.5	-255.06	1.77E-07	4.68E-04	85.371
6.55	-255.17	1.74E-07	4.56E-04	85.355
6.6	-255.21	1.74E-07	4.52E-04	85.338
6.65	-255.18	1.74E-07	4.56E-04	85.322
6.7	-255.13	1.75E-07	4.61E-04	85.306
6.75	-255.17	1.74E-07	4.56E-04	85.29
6.8	-255.24	1.73E-07	4.49E-04	85.274
6.85	-255.22	1.73E-07	4.51E-04	85.258
6.9	-255.21	1.74E-07	4.52E-04	85.242
6.95	-255.21	1.74E-07	4.52E-04	85.227
7	-255.24	1.73E-07	4.49E-04	85.211
7.05	-255.35	1.71E-07	4.38E-04	85.196
7.1	-255.41	1.70E-07	4.31E-04	85.181
7.15	-255.39	1.70E-07	4.34E-04	85.166
7.2	-255.39	1.70E-07	4.34E-04	85.15
7.25	-255.43	1.69E-07	4.29E-04	85.135
7.3	-255.53	1.67E-07	4.20E-04	85.121
7.35	-255.61	1.66E-07	4.13E-04	85.106
7.4	-255.53	1.67E-07	4.19E-04	85.091
7.45	-255.53	1.67E-07	4.20E-04	85.077
7.5	-255.61	1.66E-07	4.12E-04	85.062
7.55	-255.64	1.65E-07	4.10E-04	85.048
7.6	-255.74	1.63E-07	4.00E-04	85.033
7.65	-255.91	1.60E-07	3.85E-04	85.019
7.7	-255.96	1.59E-07	3.81E-04	85.005
7.75	-255.86	1.61E-07	3.89E-04	84.991
7.8	-255.8	1.62E-07	3.95E-04	84.977
7.85	-255.87	1.61E-07	3.88E-04	84.963
7.9	-255.97	1.59E-07	3.79E-04	84.949
7.95	-255.99	1.59E-07	3.78E-04	84.935
8	-256.02	1.58E-07	3.75E-04	84.922
8.05	-256	1.59E-07	3.77E-04	84.908
8.1	-255.99	1.59E-07	3.78E-04	84.895
8.15	-256	1.59E-07	3.77E-04	84.881
8.2	-256.09	1.57E-07	3.69E-04	84.868
8.25	-256.2	1.55E-07	3.60E-04	84.854
8.3	-256.23	1.54E-07	3.58E-04	84.841
8.35	-256.22	1.55E-07	3.58E-04	84.828
8.4	-256.22	1.55E-07	3.58E-04	84.815
8.45	-256.17	1.55E-07	3.62E-04	84.802
8.5	-256.07	1.57E-07	3.71E-04	84.789
8.55	-256.05	1.58E-07	3.73E-04	84.776
8.6	-256.06	1.57E-07	3.72E-04	84.763
8.65	-256.08	1.57E-07	3.70E-04	84.75
8.7	-256.1	1.57E-07	3.69E-04	84.737
