FREQ_MHz	SENS_DB	SENS_VPERPA	SENS_V2CM2PERW	CAP_PF
17.8	-257.89	1.28E-07	2.44E-04	312.684
17.85	-257.92	1.27E-07	2.42E-04	313.826
17.9	-257.94	1.27E-07	2.41E-04	314.98
17.95	-257.83	1.28E-07	2.48E-04	316.144
18	-257.89	1.28E-07	2.44E-04	317.319
18.05	-258.09	1.25E-07	2.33E-04	318.505
18.1	-258.08	1.25E-07	2.33E-04	319.704
18.15	-258.02	1.26E-07	2.36E-04	320.913
18.2	-258.28	1.22E-07	2.23E-04	322.134
18.25	-258.26	1.22E-07	2.24E-04	323.367
18.3	-258.33	1.21E-07	2.21E-04	324.613
18.35	-258.57	1.18E-07	2.09E-04	325.87
18.4	-258.58	1.18E-07	2.08E-04	327.139
18.45	-258.27	1.22E-07	2.23E-04	328.419
18.5	-258.41	1.20E-07	2.16E-04	329.713
18.55	-258.39	1.20E-07	2.17E-04	331.018
18.6	-258.23	1.23E-07	2.26E-04	332.335
18.65	-258.38	1.21E-07	2.18E-04	333.666
18.7	-258.57	1.18E-07	2.09E-04	335.008
18.75	-258.67	1.17E-07	2.04E-04	336.363
18.8	-258.68	1.17E-07	2.03E-04	337.731
18.85	-258.51	1.19E-07	2.12E-04	339.111
18.9	-258.56	1.18E-07	2.09E-04	340.504
18.95	-258.56	1.18E-07	2.09E-04	341.911
19	-258.73	1.16E-07	2.01E-04	343.33
19.05	-258.73	1.16E-07	2.01E-04	344.763
19.1	-258.58	1.18E-07	2.08E-04	346.208
19.15	-258.68	1.16E-07	2.03E-04	347.669
19.2	-258.77	1.15E-07	1.99E-04	349.143
19.25	-258.71	1.16E-07	2.02E-04	350.631
19.3	-258.73	1.16E-07	2.01E-04	352.132
19.35	-258.84	1.14E-07	1.96E-04	353.647
19.4	-258.66	1.17E-07	2.04E-04	355.177
19.45	-258.63	1.17E-07	2.06E-04	356.72
19.5	-258.71	1.16E-07	2.02E-04	358.277
19.55	-258.67	1.17E-07	2.04E-04	359.848
19.6	-258.83	1.15E-07	1.97E-04	361.434
19.65	-258.95	1.13E-07	1.91E-04	363.035
19.7	-258.87	1.14E-07	1.94E-04	364.65
19.75	-258.81	1.15E-07	1.97E-04	366.279
19.8	-258.94	1.13E-07	1.92E-04	367.924
19.85	-258.94	1.13E-07	1.91E-04	369.583
19.9	-258.95	1.13E-07	1.91E-04	370.372
19.95	-258.98	1.13E-07	1.90E-04	370.84
20	-259.01	1.12E-07	1.89E-04	371.308
